stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\c++專案助教\MiniProject2-cod\TowerDefense\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00034] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.03168] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.03486] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.03493] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.03494] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.03495] added dtor for voice 02B29758, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.03497] added dtor for mixer 02B29830, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.03498] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.03499] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.03741] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.03744] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.03751] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.03753] added dtor for sample_instance 02B29BE8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03756] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03757] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03758] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03759] added dtor for sample_instance 02B299C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03772] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03773] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03774] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03775] added dtor for sample_instance 02B36F68, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03777] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03778] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03779] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03780] added dtor for sample_instance 02B37148, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03781] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03782] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03783] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03784] added dtor for sample_instance 02B36518, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.03785] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03786] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.03787] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.03788] added dtor for sample_instance 02B36C98, func 61DBB8F3
